epoch;acc;loss;val_acc;val_loss
0;0.377225;1.7375831596374511;0.5011;1.414308615875244
1;0.532375;1.3233641040802002;0.5378;1.2876747791290284
2;0.59645;1.1477269145965576;0.6116;1.0915138584136963
3;0.633025;1.0410778560638427;0.6239;1.0738569314956665
4;0.664975;0.96108837890625;0.6168;1.0923094068527222
5;0.6873;0.89192177734375;0.6741;0.9392429595947266
6;0.709;0.8315012786865235;0.6982;0.8858305866241455
7;0.7267;0.7791269275665283;0.6613;0.9727875335693359
8;0.74615;0.7338646232604981;0.6992;0.88916919631958
9;0.75955;0.6950170046806335;0.7224;0.8262832641601563
10;0.7701;0.6581613887786866;0.7054;0.8739345466613769
11;0.784475;0.6179832660675049;0.722;0.8327283531188965
12;0.7967;0.5940129011631012;0.7181;0.861484412574768
13;0.806125;0.5662059812545777;0.7244;0.8464656358718872
14;0.8119;0.5480577688217163;0.7351;0.8492851076126099
15;0.8201;0.5241516954421997;0.7267;0.8433743761062622
16;0.828025;0.5072772749900818;0.7301;0.8426964580535888
17;0.82915;0.49867436428070067;0.717;0.8699988306045532
18;0.83415;0.4898495624542236;0.7211;0.8882925832748413
19;0.8379;0.47792492656707763;0.7231;0.8774932985305786
