epoch;acc;loss;val_acc;val_loss
0;0.370275;1.7377305912017822;0.5236;1.327722386932373
1;0.557375;1.2607312393188477;0.6415;1.0271895248413085
2;0.6365;1.0370190073013306;0.6622;0.9645246589660644
3;0.6869;0.893910620880127;0.6778;0.9165764961242676
4;0.725875;0.7874890622138977;0.6932;0.9060028985977173
5;0.752225;0.7026184498786926;0.728;0.8034003875732422
6;0.782425;0.6309214314460755;0.7577;0.749438946723938
7;0.803225;0.5718301571369171;0.7482;0.7781720378875733
8;0.820375;0.520839241552353;0.7561;0.7725560440063477
9;0.838275;0.47451745767593384;0.7462;0.7946857183456421
10;0.8503;0.44337227964401243;0.7718;0.7987833490371704
11;0.85775;0.42722791628837586;0.7664;0.8633232971191406
12;0.85925;0.41237069945335386;0.7688;0.9056550462722779
13;0.86665;0.4055765604496002;0.7625;1.0107003614425658
14;0.871375;0.39183442583084105;0.762;1.0481778085708617
15;0.8746;0.3804988214015961;0.7548;0.8700600044250488
16;0.872375;0.38825484619140627;0.747;1.0495031845092773
17;0.87045;0.39760587289333343;0.7644;1.1309096426010132
18;0.87095;0.3961918738365173;0.755;1.0850041999816895
19;0.87145;0.39803700404167175;0.716;0.9152776874542237
