epoch;acc;loss;val_acc;val_loss
0;0.30735;1.9060770248413086;0.4779;1.470254774093628
1;0.518725;1.3349920419692993;0.609;1.1016346382141113
2;0.6257;1.0632019666671753;0.636;1.0548302268981933
3;0.67855;0.9138841823577881;0.6906;0.8832356941223145
4;0.71975;0.7960976249694824;0.7128;0.8232918632507324
5;0.750775;0.7132176426887512;0.7233;0.7967702646255493
6;0.773825;0.6425560442447662;0.7355;0.7745768054962158
7;0.79535;0.5759950984477997;0.7396;0.8260470357894898
8;0.8169;0.5158802780151367;0.7525;0.7611886978149414
9;0.831;0.47651639347076413;0.746;0.7915606197357178
10;0.846075;0.4365722643852234;0.751;0.7960909065246582
11;0.85805;0.4016126842021942;0.7567;0.8038420763015747
12;0.864075;0.3792529417991638;0.7624;0.7913683530807495
13;0.8776;0.3448059741973877;0.7538;0.9027437461853027
14;0.8829;0.3308770137548447;0.7597;0.8714659646987915
15;0.890525;0.3089469739198685;0.7637;0.8677501434326171
16;0.893525;0.300200918841362;0.749;0.9157828643798828
17;0.90435;0.27229254975318906;0.7571;0.943043059539795
18;0.9037;0.26990637288093566;0.7585;0.9800355419158936
19;0.9088;0.25862280881404875;0.7505;1.00055584526062
