epoch;acc;loss;val_acc;val_loss
0;0.26635;2.017754911231995;0.3864;1.680201505279541
1;0.40325;1.671033352470398;0.4871;1.4071425588607789
2;0.52815;1.324011749458313;0.5792;1.185147694015503
3;0.59755;1.1303392992019654;0.5594;1.2556395092010497
4;0.626725;1.0545483306884766;0.6822;0.908505711555481
5;0.6774;0.9060582677841187;0.6376;1.0666993322372436
6;0.7001;0.8392329553604126;0.6933;0.8725174228668213
7;0.728675;0.7664703304290772;0.7122;0.8439066202163696
8;0.74975;0.701034115409851;0.7386;0.7480245258331298
9;0.76695;0.6594439613342286;0.7334;0.7833939895629883
10;0.785625;0.607136277961731;0.704;0.8586000461578369
11;0.796825;0.571894830417633;0.7185;0.8085834201812744
12;0.805575;0.5361627995491027;0.7265;0.830880718421936
13;0.818025;0.5086732983589173;0.7371;0.7925440715789795
14;0.831675;0.4692185886383057;0.7646;0.7306634174346924
15;0.841;0.44663598804473875;0.754;0.7582317056655884
16;0.848625;0.4234187437057495;0.7556;0.7486491935729981
17;0.85415;0.4072168581962585;0.7604;0.743497679901123
18;0.861675;0.3889219097614288;0.7605;0.7661669288635254
19;0.866925;0.3700058078289032;0.7664;0.7394382076263428
