epoch;acc;loss;val_acc;val_loss
0;0.397275;1.6862034046173096;0.5274;1.3163411766052246
1;0.573775;1.1964219039916992;0.624;1.0748558994293214
2;0.64375;1.0040320211410523;0.5824;1.1793981605529784
3;0.689225;0.8848397888183593;0.6857;0.9217714519500733
4;0.7241;0.7877751077651978;0.7139;0.8341176614761353
5;0.75375;0.702230530166626;0.7115;0.8414181777954102
6;0.780225;0.6209358647346497;0.7317;0.8164232299804688
7;0.799275;0.5681985728263855;0.7149;0.892698423576355
8;0.820975;0.5023855586528778;0.7323;0.8458811492919922
9;0.836875;0.45427254962921143;0.6937;1.0058682315826415
10;0.85285;0.41225372786521913;0.7195;0.9650356132507324
11;0.864475;0.37898421688079836;0.7307;0.9018122497558594
12;0.877625;0.3462782732963562;0.7352;0.9534312742233276
13;0.885975;0.31451477856636045;0.7143;1.055481466293335
14;0.889025;0.30781858592033384;0.7304;1.0192290994644164
15;0.900075;0.28208800654411315;0.7362;1.0099538816452027
16;0.909525;0.2617968843460083;0.7292;1.051933671951294
17;0.90875;0.25424020762443544;0.7249;1.111406280708313
18;0.916175;0.24024213976860045;0.7332;1.103976140975952
19;0.920475;0.2277022655248642;0.7305;1.2162720100402833
