epoch;acc;loss;val_acc;val_loss
0;0.3855;1.7107816417694093;0.5506;1.2765513412475586
1;0.566225;1.2249050386428832;0.642;1.0521672534942628
2;0.62985;1.0564945463180542;0.6665;0.9496327194213867
3;0.6668;0.9496917776107788;0.6991;0.8667999408721924
4;0.697275;0.8626081130027771;0.7127;0.8446267366409301
5;0.7176;0.7986541265487671;0.7078;0.8520742446899414
6;0.7413;0.7327217813491821;0.7343;0.7796387535095215
7;0.758975;0.6840587493896484;0.7272;0.8170746627807617
8;0.773875;0.6408572198867798;0.7443;0.7567196056365967
9;0.7892;0.5980727277755737;0.7398;0.7756872512817383
10;0.798625;0.5681386956214904;0.7459;0.7666765548706055
11;0.809;0.5332313353538514;0.7406;0.7849462841033935
12;0.8206;0.5048508209705352;0.7487;0.7954581073760987
13;0.827075;0.48259312915802;0.7468;0.7767818956375122
14;0.836325;0.45763026094436643;0.7439;0.8001586458206177
15;0.845175;0.438347256565094;0.751;0.8081242679595947
16;0.84575;0.4315924982070923;0.7509;0.7998835374832153
17;0.855725;0.403579968214035;0.746;0.8329481922149659
18;0.861075;0.39299590086936953;0.7526;0.8240155746459961
19;0.86265;0.3876183273792267;0.746;0.8458250434875488
