epoch;acc;loss;val_acc;val_loss
0;0.3328;1.87180964012146;0.4797;1.5502903423309327
1;0.489275;1.437816831970215;0.5567;1.3269727502822877
2;0.548275;1.2742257301330566;0.5873;1.193101282119751
3;0.589275;1.1623824882507323;0.5977;1.163937398147583
4;0.618;1.0852503213882447;0.6315;1.0522889282226562
5;0.64275;1.0253801279067993;0.6573;0.9796312000274658
6;0.658775;0.974255627822876;0.6721;0.961311307144165
7;0.674775;0.9304945380210876;0.6696;0.9764587985992431
8;0.688575;0.8923023736953736;0.7037;0.8931959684371948
9;0.70285;0.8555784683227539;0.7094;0.9045941848754883
10;0.715225;0.8246913606643677;0.6968;0.8905731077194214
11;0.72355;0.7988599153518676;0.675;0.9417544130325317
12;0.732625;0.7750799787521362;0.7024;0.9214331745147705
13;0.74025;0.7582497667312622;0.7156;0.8374122760772705
14;0.744575;0.73654027633667;0.6592;0.9877533466339111
15;0.75065;0.7221993206977845;0.7172;0.857796542930603
16;0.75885;0.7057842862129211;0.6847;0.9846224981307984
17;0.762925;0.6918007998466492;0.6762;1.0300824466705323
18;0.7664;0.6873300762176514;0.6919;0.9228474851608276
19;0.768825;0.6745550134658813;0.722;0.854462504196167
